item_name,item_price,area,post_id,post_date,post_time,updated_date,update_time
Original OEM Samaung GALAXY S5 S-View Flip Cover Brand New Sealed,15,Hollywood,5467223753,2/27/2016,9:47,,
Black Nexus 6P 32gb and case,500,Downey,5447019188,2/13/2016,16:30,2/27/2016,9:36
BRAND NEW Samsung Galaxy NOTE 5 T-mobile IN BOX,550,Downey,5467086405,2/27/2016,8:31,,
Brand New Samsung S6 w/ a ton of Free Stuff!!!,450,Downey,5467175410,2/27/2016,9:21,2/27/2016,9:21
Lg G Vista like new,150,Sfv/SCV,5467188147,2/27/2016,9:28,2/27/2016,9:35
Car Charger and Smart Phone Car Mount,12,Winnetka,5467178182,2/27/2016,9:22,,
BRAND NEW Samsung Galaxy NOTE 5 T-mobile IN BOX,550,Winnetka,5467089781,2/27/2016,8:33,,
Galaxy s6 Edge. Gold  T-Mobile,400,Winnetka,5463736563,2/25/2016,3:01,2/27/2016,9:00
BRAND NEW Samsung Galaxy NOTE 5 T-mobile IN BOX,550,Winnetka,5467046034,2/27/2016,8:08,,
Samsung Galaxy S5 Verizon New,269,Winnetka,5466920790,2/27/2016,6:46,,
OnePlus OnePlus 2 Octa Core Snapdragon 810 64GB Full HD GSM Unlocked,325,Winnetka,5456884545,2/20/2016,11:40,2/27/2016,8:33
Samsung Galaxy Motorola Mobile Phone Charger  X X2 Bionic  RAZR - WOW,5,Winnetka,5462071995,2/23/2016,21:17,2/27/2016,8:26
One Plus Two 64 Gigs,300,Northridge,5467061119,2/27/2016,8:17,2/27/2016,11:17
otterbox otter box defender for iphone 6,15,glendale,5434693982,2/5/2016,8:02,2/27/2016,7:43
New Galaxy T-mobile Note 5 (unlocked),475,Northridge,5466981595,2/27/2016,7:28,,
Samsung Galaxy Mote%,500,Northridge,5466963682,2/27/2016,7:16,,
Samsung Galaxy S5 AT&T New,250,Northridge,5466966928,2/27/2016,7:18,,
BLU ENERGY X PLUS,100,Northridge,5460418903,2/22/2016,19:47,2/27/2016,6:37
DROID MAXX 2,250,littlerock,5434630687,2/5/2016,7:24,2/27/2016,5:42
SAMSUNG GALAXY NOTE 2 AT&T WHITE OR TITANIUM BRAND NEW IN BOX,,littlerock,5442321394,2/10/2016,12:30,2/27/2016,1:31
Alert: Fake samsung Note 5 on Craigslist,300,littlerock,5466718750,2/27/2016,12:34,2/27/2016,0:53
Almost New Alcatel One Touch Fierce 2,50,Lomita,5466721088,2/27/2016,12:43,,
samsung galaxy note 5 t-mobile unlocked,450,Lomita,5466702033,2/26/2016,23:40,,
T*Mobile Galaxy S3,75,Westchester,5459644492,2/22/2016,11:05,2/26/2016,23:15
Platinum Samsung Galaxy S6 Black Case,10, ,5462095903,2/23/2016,21:58,2/26/2016,23:03
BRAND NEW!!!Samsung Galaxy note5 gold 32gb,    , ,5466683819,2/26/2016,22:52,,
Kyocera Hydro Wave (Metro/Tmobile) Android,40,Pasadena,5466634612,2/26/2016,21:17,,
sell FAST! 9/10 T-mobile T-889 Samsung Galaxy Note 2  16g,475, ,5466637102,2/26/2016,21:22,,
Trade Galaxy s6 & Galaxy s6 Edge for iPhone 6s+,799, ,5455737720,2/19/2016,15:11,2/26/2016,21:07
MOTOROLA XT 1527,50,ALTADENA,5461208679,2/23/2016,10:41,2/26/2016,20:41
Swarovski Crystal Case for Samsung Galaxy S6 Golden Shadow,70,Encino/Tarzana/Winnetka,5466610275,2/26/2016,20:40,2/26/2016,20:44
External Battery wall charger with usb for Samsung Galaxy note 3,10, ,5466570571,2/26/2016,19:48,,
T-MOBIL CELL/FLIP FONE brand new/ sealed boxNEVER USED,38, ,5458412913,2/21/2016,14:08,2/26/2016,17:40
New unused Samsung Galaxy S4 cellphone - $150 (Van Nuys),150, ,5466518157,2/26/2016,18:47,,
Galaxy S6 Edge Plus   64gb  T-Mobile,500, ,5466466127,2/26/2016,17:54,,
BRAND NEW LG G3 D722J 8GB GSM UNLOCKED CELL PHONE,110, ,5466398582,2/26/2016,16:54,,
Brand new Droid Maxx 2 (XT1565)  clean ESN,300,SFV,5466485394,2/26/2016,18:13,,
New Galaxy T-mobile Note 5 (unlocked),475, ,5466482532,2/26/2016,18:10,,
METRO PCS SAMSUNG GALAXY S5 4GLTE ANDROID NEW IN BOX BLACK OR WHITE,325, ,5435421133,2/5/2016,14:58,2/26/2016,18:02
Att Samsung Galaxy S6 Edge Plus 32gb Factory Unlocked,550, ,5466469531,2/26/2016,17:58,,
Galaxy S6 Edge Case,20,Koreatown,5435759015,2/5/2016,20:18,2/26/2016,17:41
Samsung Galaxy S6 Case. with free bonus Screen Protectors $25 obo,25,Koreatown,5435481661,2/5/2016,15:42,2/26/2016,17:40
Fastest Android TV Box Fully Loaded Live TV  Movies  TV Shows  Sports,130, ,5456042738,2/19/2016,19:48,2/26/2016,17:00
Brand NEW Black Pelican Voyager case for Samsung Galaxy Mega 2,, ,5456574945,2/20/2016,8:45,2/26/2016,17:28
Brand new Samsung Galaxy S6/S6 Edge phone cases,4, ,5432474261,2/3/2016,15:32,2/26/2016,17:18
"METRO PCS BLU STUDIO XL 4G ANDROID 6""TOUCH SCREEN LOW PRICE",135, ,5442513124,2/10/2016,14:30,2/26/2016,17:15
Samsung Galaxy S5 Brand New Sealed Unlocked/ Verizon,225,Lakewood,5462975520,2/24/2016,12:30,2/26/2016,17:13
**** PRICE DROP *** New Droid Turbo 2 (XT1585)  nylon grey  clean ESN,395,SFV,5455970800,2/19/2016,18:27,2/26/2016,16:28
Atrex 2 LCD,20,Acton,5448907311,2/15/2016,9:08,2/26/2016,16:06
Metro pcs smart phone,70, ,5466343512,2/26/2016,16:09,,
Smartphone UNLOCKED dual sim* brand new,100, ,5466310376,2/26/2016,15:43,,
LG Optimus L9 Smartphone MetroPCS/T-Mobi -***Brand New Still Sealed***,100,562,5452700191,2/17/2016,15:22,2/26/2016,15:48
"Digital2 D502PB 5"" Android Smartphone  Black (Unlocked)",65, ,5466315279,2/26/2016,15:47,,
Smartphone UNLOCKED dual sim* brand new,100, ,5451652411,2/17/2016,4:05,2/26/2016,15:42
I PHONE 6 PLUS GOLD,650,pasadena,5449178747,2/15/2016,11:27,2/26/2016,15:37
FREE METRO PCS NOKIA LUMIA 640 4G LTE WINDOWS WITH NEW ACTIVATION,, ,5461386562,2/23/2016,12:16,2/26/2016,15:12
Droid Cell Phone Leather Carrying Case,5,Malibu,5438378586,2/7/2016,21:38,2/26/2016,14:58
Galaxy Note 4 N910T3 for T-Mobile - New  Never Used  CLEAN ESN!,299, ,5466227545,2/26/2016,14:46,,
"Screen Protector for Samsung Galaxy S5  Note 3  Note 4 !! ""NEW""",1,Glendale,5452348710,2/17/2016,11:56,2/26/2016,14:51
"Samsung Galaxy Battery for S 3  4  5  Mini  Note 3  Note 4 !!! ""NEW""",15,Glendale,5452347804,2/17/2016,11:55,2/26/2016,14:50
"Samsung Galaxy Note 3  S5 S4 S3 Mini Note 4 Battery Wall Charger ""NEW""",15,Glendale,5452345857,2/17/2016,11:54,2/26/2016,14:50
Samsung Note 3   Galaxy S5   Note 4   Droid   Charging Data Cables !!,1,Glendale,5452346709,2/17/2016,11:55,2/26/2016,14:50
"Note 3  S5  S4  S3 Mini or Note 4 Battery and Wall Charger !! ""NEW""",1,Glendale,5452344876,2/17/2016,11:54,2/26/2016,14:50
NEW in box LG Tribute 2 4G LTE fr VIRGIN MOBILE no contract+ backcase,55,Venice,5439228650,2/8/2016,12:11,2/26/2016,14:47
New Galaxy Note 5 (unlocked),475, ,5466226410,2/26/2016,14:46,2/26/2016,16:54
NEW in box LG Tribute 2 4G LTE fr VIRGIN MOBILE no contract+ backcase,55,Venice,5439228650,2/8/2016,12:11,2/26/2016,14:47
New Galaxy Note 5 (unlocked),475, ,5466226410,2/26/2016,14:46,2/26/2016,16:54
Att Samsung Galaxy Note 5 32gb Factory Unlocked,550, ,5466206924,2/26/2016,14:33,,
uniden bluetooth earphones  brand new in sealed box,20, ,5466203098,2/26/2016,14:31,,
Black Smart Watch U8 Bluetooth!!!!!!!!!!!!,40,Encino,5452545901,2/17/2016,13:45,2/26/2016,14:24
Samsung Galaxy S6 Edge CURVED Tempered Glass Screen Protector,16, ,5449500801,2/15/2016,14:27,2/26/2016,14:09
Samsung Galaxy S6 Edge CURVED Tempered Glass Screen Protector,16, ,5449622190,2/15/2016,15:46,2/26/2016,14:09
Samsung Galaxy S6 Edge CURVED Tempered Glass Screen Protector,16, ,5449499770,2/15/2016,14:26,2/26/2016,14:08
Samsung Galaxy S6 Edge CURVED Tempered Glass Screen Protector,16, ,5449336529,2/15/2016,12:52,2/26/2016,14:07
ALCATEL IDOL 3 $129,129,Hawthorne,5466170426,2/26/2016,14:10,2/26/2016,14:11
Samsung Galaxy S6 Edge CURVED Tempered Glass Screen Protector,16, ,5449337113,2/15/2016,12:52,2/26/2016,14:04
Samsung Galaxy s6 tempered glass screen protector,6, ,5449482819,2/15/2016,14:16,2/26/2016,14:03
Samsung Galaxy s6 tempered glass screen protector,6, ,5449599596,2/15/2016,15:31,2/26/2016,14:02
Samsung Iphone tempered glass screen protector,6, ,5449374039,2/15/2016,13:13,2/26/2016,14:02
Samsung Galaxy s6 tempered glass screen protector,6, ,5449483577,2/15/2016,14:16,2/26/2016,14:01
Samsung Iphone tempered glass screen protector,6, ,5449367736,2/15/2016,13:09,2/26/2016,14:01
"LG G4 - 32GB  5.5"" screen  Verizon  Brand new (White - Unlocked)",310, ,5466162295,2/26/2016,14:05,,
